-1.840000 0.000000 0.000000,-3.010000 0.000000 0.000000,
-1.818712 -0.241739 0.262857,-2.917640 -0.639324 0.430000,
-1.755732 -0.475129 0.525714,-2.650709 -1.220257 0.860000,
-1.653665 -0.692207 0.788571,-2.238331 -1.691520 1.290000,
-1.516711 -0.885758 1.051429,-1.724809 -2.015078 1.720000,
-1.350456 -1.049642 1.314286,-1.163917 -2.170476 2.150000,
-1.161604 -1.179064 1.577143,-0.612055 -2.156792 2.580000,
-0.957645 -1.270773 1.840000,-0.121255 -1.991994 3.010000,
-1.818712 0.241739 -0.262857,-2.917640 0.639324 -0.430000,
-1.755732 0.475129 -0.525714,-2.650709 1.220257 -0.860000,
-1.653665 0.692207 -0.788571,-2.238331 1.691520 -1.290000,
-1.516711 0.885758 -1.051429,-1.724809 2.015078 -1.720000,
-1.350456 1.049642 -1.314286,-1.163917 2.170476 -2.150000,
-1.161604 1.179064 -1.577143,-0.612055 2.156792 -2.580000,
-0.957645 1.270773 -1.840000,-0.121255 1.991994 -3.010000,
1.840000 0.000000 0.000000,3.010000 0.000000 0.000000,
1.818712 0.241739 0.262857,2.917640 0.639324 0.430000,
1.755732 0.475129 0.525714,2.650709 1.220257 0.860000,
1.653665 0.692207 0.788571,2.238331 1.691520 1.290000,
1.516711 0.885758 1.051429,1.724809 2.015078 1.720000,
1.350456 1.049642 1.314286,1.163917 2.170476 2.150000,
1.161604 1.179064 1.577143,0.612055 2.156792 2.580000,
0.957645 1.270773 1.840000,0.121255 1.991994 3.010000,
1.818712 -0.241739 -0.262857,2.917640 -0.639324 -0.430000,
1.755732 -0.475129 -0.525714,2.650709 -1.220257 -0.860000,
1.653665 -0.692207 -0.788571,2.238331 -1.691520 -1.290000,
1.516711 -0.885758 -1.051429,1.724809 -2.015078 -1.720000,
1.350456 -1.049642 -1.314286,1.163917 -2.170476 -2.150000,
1.161604 -1.179064 -1.577143,0.612055 -2.156792 -2.580000,
0.957645 -1.270773 -1.840000,0.121255 -1.991994 -3.010000,
